Periodo,IPC General,Reajuste IPC Acumulado
1929,1.8,1.018
1930,0.0,1.018
1931,-1.8,0.999676
1932,1.8,1.017670168
1933,30.9,1.332130249912
1934,-1.4,1.313480426413232
1935,1.4,1.3318691523830173
1936,9.7,1.46106046016417
1937,13.9,1.6641478641269896
1938,4.4,1.7373703701485772
1939,0.0,1.7373703701485772
1940,13.8,1.9771274812290807
1941,13.1,2.2361311812700904
1942,24.8,2.7906917142250727
1943,21.2,3.382318357640788
1944,6.0,3.5852574590992354
1945,10.4,3.958124234845556
1946,14.0,4.512261627723935
1947,36.5,6.159237121843171
1948,15.9,7.138555824216236
1949,21.2,8.651929658950078
1950,12.6,9.742072795977787
1951,20.5,11.739197719153234
1952,27.4,14.95573789420122
1953,13.1,16.91493955834158
1954,82.5,30.869764693973384
1955,77.8,54.88644162588468
1956,52.4,83.64693703784825
1957,38.3,115.68371392334413
1958,20.2,139.05182413585965
1959,39.9,194.53350196606766
1960,9.2,212.4305841469459
1961,8.8,231.12447555187717
1962,10.9,256.3170433870318
1963,46.6,375.7607856053886
1964,48.2,556.8774842671859
1965,30.4,726.1682394844104
1966,21.7,883.7467474525275
1967,18.9,1050.7748827210553
1968,26.4,1328.179451759414
1969,32.8,1763.8223119365016
1970,29.8,2289.4413608935793
1971,21.1,2772.5134880421247
1972,40.1,3884.2913967470167
1973,283.4,14892.37321512806
1974,704.6,119824.03488892036
1975,422.9,626559.8784341646
1976,211.3,1950480.9015655543
1977,92.3,3750774.773710561
1978,40.4,5266087.782289627
1979,30.8,6888042.819234832
1980,38.1,9512387.133363303
1981,21.0,11509988.431369595
1982,4.2,11993407.94548712
1983,32.3,15867278.711879458
1984,19.2,18913796.224560313
1985,35.1,25552538.699380983
1986,17.6,30049785.510472033
1987,19.0,35759244.75746172
1988,15.5,41301927.69486829
1989,16.2,47992839.981436945
1990,24.8,59895064.29683331
1991,23.8,74150089.59947963
1992,14.5,84901852.59140418
1993,13.0,95939093.42828672
1994,12.7,108123358.29367913
1995,7.6,116340733.52399875
1996,8.3,125997014.40649064
1997,5.3,132674856.17003463
1998,5.4,139839298.4032165
1999,3.8,145153191.74253875
2000,3.7,150523859.83701268
2001,3.6,155942718.79114515
2002,2.0,159061573.16696805
2003,3.6,164787789.8009789
2004,1.1,166600455.48878965
2005,2.7,171098667.78698695
2006,3.9,177771515.83067942
2007,3.2,183460204.33726117
2008,9.5,200888923.749301
2009,1.9,204705813.30053768
2010,1.2,207162283.06014413
2011,3.4,214205800.68418902
2012,2.7,219989357.3026621
2013,1.9,224169155.09141266
2014,4.3,233808428.7603434
2015,4.4,244095999.62579852
2016,4.2,254348031.61008206
2017,1.7,258671948.14745343
2018,2.5,265138746.85113975
2019,2.3,271236938.02871597
2020,2.6,278289098.4174626
2021,3.8,288864084.15732616
2022,12.5,324972094.67699194
2023,7.6,349669973.8724434
2024,4.2,364356112.775086
